Dataset Number, KMEANS, DBSCAN, SBM-V2, SBM-V1
0,0.25,0.5,0.75,1
1,0.51,0.09,0.18,0.18
2,0.94,0.09,0.22,0.21
3,0.22,0.06,0.16,0.15
4,0.05,0.03,0.11,0.12
5,0.54,0.08,0.21,0.21
6,0.32,0.1,0.17,0.17
7,0.68,0.1,0.23,0.22
8,0.03,0.02,0.1,0.11
9,1.3,0.13,0.26,0.26
10,1.01,0.1,0.24,0.23
11,0.78,0.1,0.23,0.23
12,0.97,0.09,0.23,0.22
13,0.15,0.06,0.13,0.14
14,0.04,0.03,0.11,0.11
15,0.16,0.07,0.16,0.16
16,0.12,0.05,0.13,0.13
17,0.11,0.06,0.15,0.15
18,0.09,0.04,0.14,0.13
19,1.28,0.1,0.24,0.23
20,0.76,0.09,0.21,0.2
21,0.04,0.03,0.09,0.1
22,0.09,0.04,0.13,0.13
23,0.68,0.09,0.23,0.22
26,0.44,0.11,0.2,0.19
27,0.06,0.04,0.15,0.15
28,0.52,0.09,0.22,0.21
29,0.03,0.03,0.08,0.08
30,0.06,0.03,0.1,0.1
31,0.23,0.06,0.17,0.18
32,0.17,0.06,0.17,0.17
33,0.05,0.03,0.09,0.1
34,0.09,0.04,0.13,0.13
35,0.19,0.06,0.16,0.16
36,0.62,0.09,0.21,0.2
37,0.19,0.09,0.16,0.16
38,0.38,0.07,0.18,0.19
39,0.03,0.03,0.1,0.09
40,0.09,0.05,0.14,0.13
41,0.55,0.09,0.22,0.21
42,0.14,0.04,0.13,0.13
43,0.65,0.07,0.19,0.19
45,0.09,0.04,0.13,0.13
46,0.03,0.03,0.1,0.1
47,0.46,0.07,0.19,0.18
48,0.09,0.04,0.13,0.13
49,0.19,0.06,0.19,0.2
50,0.51,0.07,0.18,0.18
51,0.98,0.08,0.22,0.21
52,0.21,0.06,0.16,0.17
53,0.05,0.03,0.1,0.09
54,0.05,0.04,0.13,0.13
55,1.1,0.09,0.25,0.26
56,0.69,0.09,0.2,0.2
57,0.05,0.04,0.11,0.11
58,0.07,0.05,0.12,0.11
59,0.02,0.03,0.09,0.09
60,0.28,0.07,0.19,0.18
61,0.95,0.1,0.21,0.21
62,0.06,0.04,0.11,0.11
63,0.22,0.04,0.14,0.14
64,0.04,0.03,0.1,0.1
65,0.61,0.09,0.22,0.22
66,0.42,0.09,0.2,0.19
67,0.38,0.07,0.18,0.17
68,0.1,0.04,0.13,0.13
69,0.36,0.07,0.2,0.18
70,0.21,0.07,0.17,0.17
71,0.79,0.09,0.2,0.2
72,0.53,0.08,0.19,0.18
73,0.13,0.05,0.15,0.15
74,0.84,0.1,0.21,0.2
75,1.07,0.09,0.22,0.21
76,0.04,0.03,0.1,0.1
77,0.08,0.05,0.14,0.14
78,0.24,0.06,0.16,0.16
79,1.17,0.09,0.23,0.24
80,0.15,0.05,0.13,0.13
81,0.11,0.05,0.13,0.13
82,0.46,0.07,0.16,0.16
83,0.05,0.03,0.09,0.09
84,0.06,0.04,0.1,0.1
85,0.84,0.1,0.23,0.23
86,0.83,0.1,0.22,0.22
87,0.06,0.04,0.11,0.12
88,0.09,0.04,0.11,0.11
89,0.02,0.03,0.1,0.1
90,0.26,0.07,0.17,0.16
91,0.49,0.07,0.19,0.19
92,0.15,0.06,0.16,0.15
93,0.07,0.03,0.12,0.11
94,0.04,0.03,0.13,0.12
95,0.44,0.09,0.2,0.19
Average,0.35,0.06,0.16,0.16
