Algor	ARI-a	AMI-a	ARI-n	AMI-n	FMI-a
K-means	0.506	0.715	0.595	0.759	0.558
DBSCAN	0.154	0.328	0.106	0.255	0.404
S.B.M.	0.498	0.672	0.501	0.677	0.553
