Algor,ARI-a,AMI-a,ARI-n,AMI-n,FMI-a
K-means,0.409,0.592,0.431,0.595,0.502
DBSCAN,0.084,0.183,0.013,0.039,0.427
S.B.M.,0.358,0.399,0.357,0.397,0.566
