Algor	ARI-a	AMI-a	FMI-a	ARI-n	AMI-n	FMI-n
K-means	0.336	0.512	0.385	0.351	0.525	0.385
DBSCAN	0.006	0.021	0.283	0.198	0.284	0.283
S.B.M.	0.410	0.473	0.458	0.503	0.527	0.458
