Algor	ARI-a	AMI-a	FMI-a	ARI-n	AMI-n	FMI-n
K-means	0.222	0.444	0.399	0.223	0.448	0.399
DBSCAN	0.385	0.514	0.529	0.806	0.778	0.529
S.B.M.	0.290	0.450	0.445	0.453	0.565	0.445
