Algor	ARI-a	AMI-a	FMI-a	ARI-n	AMI-n	FMI-n
K-means	0.321	0.519	0.493	0.397	0.557	0.493
DBSCAN	0.270	0.350	0.625	1.000	1.000	0.625
S.B.M.	0.937	0.880	0.954	0.958	0.910	0.954
