Algorithm,K-Means,,,,DBSCAN,,,,SBMv2,,,,SBMv1,,,
15,57.27,80.22,68.15,82.06,59.7,63.84,59.92,65.14,54.91,73.56,56.35,76.82,52.82,70.71,57.38,77.81
16,54.38,74.35,53.29,72.44,50.4,59.53,99.57,96.97,58.45,74.23,60.04,79.66,55.79,70.75,58.53,78.79
17,66.46,85.3,79.88,85.92,68.39,72.66,73.48,77.25,57.65,76.41,58.7,79.43,57.38,74.51,60.01,80.49
18,51.32,75.35,71.5,85.51,43.2,68.54,40.26,68.81,49.62,65.05,51.41,69,48.8,63.4,52.6,69.92
19,55.65,76.56,56.59,77.41,17.39,34.76,45.93,55.79,59.16,74.04,59.87,74.82,57.85,72.89,60.03,75.14
20,57.78,78.6,56.2,76.69,35.45,51.16,71.33,78.24,57.35,76.2,58.24,77.39,58.68,75.19,61.36,78.51
21,58.69,61.42,77.62,71.24,39.06,36.07,100,100,30.85,40.62,31.48,43.54,32.86,41.02,34.57,45.93
22,66.04,80.42,64.33,77.52,51.18,56.89,99.12,96.23,52.87,67.06,54.41,70.95,47.56,62.63,50.75,69.01
23,56.67,76.42,56.58,76.34,17.12,33.61,49.85,57.63,53.28,75.09,53.79,75.84,50.4,73.89,51.88,76.14
26,60.16,79.48,59.51,79.57,35.13,52.2,72.53,75.55,58.85,74.14,60.15,75.56,57.03,72.72,60.14,76.21
27,64.36,76.35,61.11,70.14,51.03,55.69,99.9,99.47,58.02,61.58,61.06,65.9,54.04,59.6,59.43,66.23
28,62.24,79.1,70.03,83,44.71,55.28,62.46,66.79,57.84,77.99,58.82,80.58,58.21,77.13,60.72,81.85
29,30.36,43.75,1.84,14.31,39.82,46.82,89.66,85.38,38.2,44.47,41.43,49.23,35.68,42.15,42.04,49.82
30,60.06,77.71,86.98,86.53,76.04,76,99.44,96.94,58.66,67.43,60.5,73.74,58.57,65.31,61.73,74.87
31,60.63,77.36,70.44,82.89,65.88,63.05,58.99,65.47,55.66,67.89,57.45,70.82,55.46,67.15,60.66,73.14
32,70.43,82.86,85.49,85.81,36.07,50.66,90.16,89.84,64.44,76.1,66.07,79.39,62.53,73.69,67.66,80.24
33,47.43,55.7,94.11,87.38,44.56,47.21,96.68,91.69,43.96,46.28,47.99,52.81,41.74,44.26,48.29,53.26
34,69.88,85.58,98.92,96.32,72.03,71.93,74.94,75.27,62.11,69.88,64.47,74.93,60.76,67.84,65.87,75.8
35,69.95,85.21,70.66,84.44,53.05,65.78,99.27,98.57,62.74,78.07,64.04,81.29,60.76,75.43,64.6,81.62
36,59.02,79.96,58.54,78.32,50.38,58.69,50.8,64.95,66.5,82.21,67.3,84.22,65.86,81.25,68.67,85.6
37,59.25,76.34,56.45,73.51,45.91,54.61,42.3,49.7,51.36,70.23,52.46,73.12,50.54,69.09,53.02,74.22
38,64.46,81.76,62.99,79.53,46.87,57.14,46.69,56.53,63.95,78.57,64.96,80.01,63.9,77.5,67.04,81.45
39,36.13,36.49,0,0,86.35,75.11,99.99,99.26,37.33,46.53,40.16,50.76,34.98,44.21,40.09,50.73
40,60.35,78.23,54.23,72.54,51.6,56.03,72.53,74.97,46.26,64.21,47.21,66.14,47.24,62.73,49.87,67.28
41,62.9,81.02,72.47,85.31,35.35,50.04,34.19,49.05,59.14,78.53,59.75,79.31,57.68,77.81,59.25,79.63
42,51.33,71.89,47.02,67.19,61.35,61.65,62.91,62.81,47.62,65.36,49.18,69.73,44.67,61.99,48.53,69.26
43,63.19,81.67,74.25,86.28,40.19,55.23,38.56,55.92,64.75,79.48,65.85,81.88,64.98,78.69,67.66,83.49
45,46.66,71.15,62.35,77.52,43.42,49,63.19,70.18,41.69,59.5,43.22,63.43,40.29,57.14,44.05,63.55
46,69.02,58.62,0,0,39.75,44.94,90.76,75.71,28.86,38.1,31.75,41.89,28.54,36.74,33.13,42.54
47,61.53,80.99,59.37,79.8,25.41,42.06,61.21,73.54,61.9,78.29,62.97,80.85,60.22,76.47,63.62,81.78
48,49,69.94,63.12,75.62,68.26,65.63,98.88,94.98,60.41,67.85,62.79,72.33,57.33,65.19,62.78,72.81
49,61.09,81.41,74.89,86.87,40.36,56.75,98.47,96.84,48.59,66.65,50.29,69.63,48.44,66.17,53.21,72.03
50,57.19,77.86,58.18,78.43,42.33,56.61,75.52,80.05,57.64,73.8,58.4,74.85,56.82,72.34,59.18,75.26
51,51.79,75.28,61.29,80.12,41.87,54.47,48.28,65.03,50.01,74.35,50.73,75.96,48.81,72.37,50.76,75.84
52,58.11,78.91,57.6,79.73,51.41,55,39.51,54.77,59.58,75.95,60.72,78.58,57.69,73.67,60.24,78.91
53,40.18,57.7,99.63,99.03,49.44,53.97,99.52,97.23,32.13,42.09,34,45.41,32.3,41.07,35.64,46.08
54,54.64,72.6,48.58,64.64,27.34,49.72,100,100,52.66,63.05,54.96,67.37,50.87,61.11,55.26,67.77
55,53.74,75.85,53.29,75.06,28.12,46.18,24.19,42.42,51.69,71.89,52.42,72.95,50.69,71,52.52,73.56
56,59.16,77.52,58.45,76.07,13.8,32.22,10.79,26.75,57.59,76.28,58.25,77.23,56.79,74.49,58.79,77.19
57,67.11,80.4,59.73,73.59,84.62,79.71,93.6,91.71,61.64,69.48,63.93,73.95,59.72,67.38,65.14,75.09
58,66.34,79.11,62.51,74.44,48.49,65.82,84.84,84.78,62.94,77.26,64.25,81.06,60.36,71.55,64.8,80.79
59,70.28,61.39,100,100,63.59,57.46,99.88,93.16,41.01,41.77,45.62,47.96,37.67,39.28,45.87,48.31
60,53.73,76.35,62.56,80.21,32.58,50.28,84.43,82.75,56.58,70.85,58.03,73.81,55.61,70.05,59.03,75.03
61,52.43,73.57,58.71,76.79,12.75,31.43,89.03,87.03,47.29,66.65,48.01,67.57,46.1,64.93,47.9,67.38
62,52.23,74.67,50.58,75.41,41.32,51.96,98.75,91.77,61.07,71.72,62.28,75.43,60.95,69.73,64.17,76.36
63,47.07,72.09,45.46,70.22,62.51,57.5,76.66,69.46,52.2,72.95,54.16,77.69,51.82,71.71,55.67,78.78
64,52.71,67.32,87.66,79.88,85.18,75.15,98.44,95.33,29.23,47.8,30.7,51.63,27.2,44.99,29.47,50.45
65,62.05,81.52,70.12,85.26,36.72,56.93,70.26,78.24,50.52,72.81,50.85,73.5,49.95,71.86,51.17,74.26
66,67.88,83.82,68.58,83.17,24.05,46.73,99.01,97.77,64.4,80.53,65.52,82.64,60.65,78.35,63.55,82.99
67,67.75,84.61,76.76,89.55,53.08,66.37,85.7,89.79,69.21,81.64,70.13,84.05,67.73,79.21,70.68,84.65
68,71.62,85.48,84.46,87.3,84.53,81.49,86.02,89.43,51.13,70.55,53.28,75.15,54.83,68.9,60.47,77.22
69,71.24,84.58,68.48,82.75,59.09,76.87,61.93,82.69,71.1,83.39,72.5,86.12,69.12,80.51,73.82,86.78
70,58.71,77.4,61.37,78.39,40.8,51.76,31.77,47.5,43.15,68.62,44.05,70.81,42.24,66.39,44.59,70.99
71,66.96,82.39,65,81.55,65.27,69.44,73.68,76.51,69.73,82.9,70.39,83.88,68.39,81.49,71.57,85.23
72,52.88,75.36,53.07,75.8,54.77,64.87,75.31,82.1,52.03,74.1,52.82,75.27,51.37,73.03,53.5,76.02
73,62.72,79.18,76.93,87.98,63.47,66.85,68.04,79.14,66.14,74.86,68.1,78.58,65.83,73.46,70.27,80.22
74,56.41,77.64,56.62,78.02,29.35,47.79,60.53,71,58.71,74.85,59.25,75.85,56.55,73.36,58.67,76.34
75,56.07,76.94,57.11,77.9,21.79,41.99,68.02,72.59,51.65,71.45,52.27,72.41,49.48,69.65,51.51,72.38
76,84.34,80.44,74.98,60.1,89.22,77.33,98.68,92.51,36.33,47.77,38.29,51.53,35.91,46.8,39.02,52.26
77,62.25,74.84,55.55,66.41,79.05,79.02,86.25,83.29,51.37,63.22,54.07,67.44,51.15,61.95,57.15,69.58
78,54.41,73.07,54.13,71.76,53.48,56.1,52.06,52.35,52.23,68.55,53.54,71.73,52.45,67.32,56.19,73.18
79,63.9,79.99,65.01,80.25,27.99,53.15,76.67,85.43,61.12,79.06,61.94,81.09,59.05,77.2,61.71,81.52
80,53.97,76.52,52.42,75.22,64.49,63.22,65.64,64.15,62.06,77.88,62.98,81.28,62.4,77.31,64.5,82.86
81,56.69,75.41,62.05,78.8,44.3,51.09,63.11,72.2,52.01,68.52,53.22,71.42,50.82,66.85,53.29,71.75
82,64.01,81.23,75.31,86.73,50.05,59.54,50.29,62.48,58.48,78.66,59.18,80.2,55.49,75.75,57.27,78.91
83,92.65,88.64,93.17,88.26,87.63,77.8,99.13,96.13,74.46,72.56,78.34,80.07,73.34,69.77,79.51,80.64
84,56.09,72.45,49.15,69.01,29.77,47.64,68.62,73.04,63.21,69.91,65.45,74.21,62.98,67.88,67.91,75.78
85,61.03,79.4,61.64,79.92,26.55,49.91,81.96,84.35,62.28,78.21,63.04,79.12,56.67,75.72,59.08,78.43
86,53.61,76.16,52.42,75.98,23.51,42.58,26.11,43.38,56.98,73.71,57.77,74.93,58.32,73.89,60.71,76.93
87,60.29,73.9,71.38,78.97,32.81,48.16,99.14,95.6,58.18,66.3,59.94,71.06,57.61,65.37,61.03,73.77
88,55.31,74.59,53.07,70.52,87.96,81.44,99.21,96.76,71.12,78.12,73.7,83.17,69.17,75.6,75.79,84.96
89,94.24,84.73,99.09,97.09,57.42,58.82,98.87,96.54,29.83,45.01,31.7,48.81,27.97,43.41,31.13,48.62
90,67.44,83.51,78.07,85.08,52.01,69.16,82.88,87.63,63.52,80.3,64.63,82.2,61.07,77.37,65.09,82.32
91,61.91,79.22,61.44,78.93,71.04,70.49,83.8,81.95,65.98,78.89,67.66,81.73,63.62,76.56,67.91,82.21
92,63.97,80.48,63.46,79.64,65.55,74.77,73.03,84.74,72.05,76.11,74.95,81.04,67.77,72.4,76.7,82.05
93,48.03,69.08,45.36,64.55,48.35,51.43,99.99,99.58,45.73,62.36,47.03,66.51,42.66,59.2,45.61,66.32
94,5.32,22.37,0,0,47.28,48.64,100,100,30.02,38.88,32.22,42.24,31.1,39,34.28,43.92
95,60.94,80.18,58.14,78.09,44.78,63.26,46.56,67.53,62.04,79.85,63.31,81.17,58.33,77.36,63.65,82.11
Average,58.34,74.8,61.45,74.57,47.89,57.12,71.2,76.51,54.07,68.79,55.51,71.68,52.9,67.1,56.34,72.45
