Algorithm,K-Means,,,,DBSCAN,,,,SBMv2,,,,SBMv1,,,
Setting,ALL,,NNP,,ALL,,NNP,,ALL,,NNP,,ALL,,NNP,
Dataset Number,ARI,AMI,ARI,AMI,ARI,AMI,ARI,AMI,ARI,AMI,ARI,AMI,ARI,AMI,ARI,AMI
1,53.28,77.19,51.62,75.61,27.65,55.65,24.95,55.56,49.8,74.87,50.28,75.85,48.96,73.69,50.88,76.48
2,62.35,78.7,58.35,76.37,25.03,44.32,22.13,41.42,73.68,80.65,74.79,82.09,72.59,78.87,75.81,82.26
3,60.19,78.51,71.49,84.51,56.98,66.49,58.06,70.32,64.21,79.27,64.99,81.56,62.18,78.82,64.83,84.31
4,47.62,69.58,84.54,79.34,73.35,74.69,100,100,32.1,50.99,33.54,54.25,32.63,49.6,35.13,54.62
5,61.27,79.19,58.59,76.15,45.25,61.2,45.15,62.04,58.61,75,59.95,77.7,55.67,73.02,58.73,77.96
6,51.36,73.16,52.76,75.14,35.44,44.83,26.98,36.92,45.58,69.16,46.07,70.25,45.85,68.71,46.97,70.99
7,67.49,86.06,67.22,86.01,37.77,55.01,37.87,55.85,65.81,80.48,66.49,81.45,69.1,80.67,72.23,84.05
8,7.48,15.46,0,0,72.14,52.89,92.55,84,8.36,18.19,8.61,19.63,9.63,18.28,9.43,19.29
9,55.9,75.52,60.28,77.47,9.34,27.87,76.83,79.44,50.37,72.54,51.03,73.32,48.76,71.41,50.55,73.76
10,59.5,81.58,58.17,80.91,28.88,48.64,34.49,60.38,56.16,76.49,56.91,77.6,55.01,75.22,57.12,78.33
11,67.86,84.24,65.85,82.99,39.57,61.72,39.22,63.53,60.72,80.54,61.53,81.72,60.9,79.4,63.93,83.13
12,71.15,86.13,70.6,85.97,42.92,57.66,44.89,61.24,70.26,82.4,71.07,84.13,71.84,81.87,75.33,86.43
13,50.99,72.17,48.08,68.35,49.38,58.87,99.2,98.21,42.69,67.69,43.64,71.49,42.11,66.57,44.33,73.35
14,35.87,47.66,8.64,17.32,25.63,45.35,48.89,56.72,33.24,44.12,35.61,48.5,32.95,43.27,37.29,49.49
