Algor	ARI-a	AMI-a	FMI-a	ARI-n	AMI-n	FMI-n
K-means	0.104	0.294	0.332	0.121	0.318	0.332
DBSCAN	0.411	0.385	0.666	0.834	0.569	0.666
S.B.M.	0.366	0.346	0.623	0.522	0.420	0.623
