Algor	ARI-a	AMI-a	ARI-n	AMI-n	FMI-a
K-means	0.577	0.790	0.567	0.778	0.620
DBSCAN	-0.003	0.135	0.422	0.505	0.249
S.B.M.	0.397	0.623	0.483	0.699	0.455
