Algor	ARI-a	AMI-a	ARI-n	AMI-n	FMI-a
K-means	0.582	0.776	0.584	0.775	0.622
DBSCAN	-0.009	0.132	0.495	0.571	0.218
S.B.M.	0.456	0.682	0.557	0.768	0.497
