Algorithm,K-Means,,,,DBSCAN,,,,SBMv2,,,,SBMv1,,,
Setting,ALL,,NNP,,ALL,,NNP,,ALL,,NNP,,ALL,,NNP,
Dataset Number,ARI,AMI,ARI,AMI,ARI,AMI,ARI,AMI,ARI,AMI,ARI,AMI,ARI,AMI,ARI,AMI
1,75.58,88.62,75.29,88.38,14.61,31.29,8.15,19.44,41.12,65.26,62.5,76.54,24.32,61.64,64.35,78.73
2,68.03,85.63,67.78,85.36,9.45,25.32,100,100,56.27,74.73,78.04,88.58,36.69,65.9,80.29,89.97
3,68.34,83.87,65.95,81.75,1.56,4.82,100,100,46.57,65.65,64.26,78.59,34,61.67,68.23,80.4
4,47.82,70.07,33.52,50.46,0,0,100,100,7.73,32.07,21.15,43.56,5.79,30.85,23.34,44.91
5,71.4,85.27,70.33,84.67,0.31,1.51,100,100,46.48,67.69,67.45,79.92,32.07,64.2,69.86,82.02
6,59.95,80.2,57.6,77.83,4.3,11.11,100,100,40.66,63.47,64.23,79.85,29.05,59.68,66.53,81.3
7,81.38,91.68,82.73,91.15,2.42,9.95,100,100,52.74,74.89,76.57,87.8,33.77,70.07,80.47,89.77
8,10.76,16.98,0,0,0.35,0.16,100,100,-13.31,4.31,0.38,2.4,-14.45,3.61,0.33,1.78
9,70.26,84.22,70.02,84.61,0,0,100,100,40.45,68.21,62.63,79.64,26.36,64.49,66.66,82.2
10,72.58,89.29,71.85,89.06,0,0,100,100,46.36,73.27,69.55,85.39,28.46,67.87,72,87.62
11,73.18,88.25,81.43,91.63,10.96,29.28,50.74,57.48,52.37,74.99,66.66,84.76,35.72,70.81,70.36,86.67
12,75.4,89.17,73.87,88.69,7.14,22.84,100,100,52.15,73.9,69.72,85.35,34.62,69.43,74.08,88.51
13,56.52,75.36,71.39,82.87,45.7,53.39,58.16,67.63,17.61,43.71,30.64,51.91,15.74,43.38,41.01,55.78
14,14.51,41.46,97.72,94.46,0,0,100,100,-4.5,18.22,7.16,23.8,-6.51,16.77,8.2,23.05
