Algorithm,K-Means,,,,DBSCAN,,,,SBMv2,,,,SBMv1,,,
15,74.7,89.4,89.12,90.21,46.92,60.03,44.53,55.18,43.88,64.45,68.66,79.45,26.86,59.32,70.92,80.96
16,55.85,77.95,69.71,83.88,0.01,0,100,100,24.37,51.04,48.4,66.52,15.62,47.33,51.84,67.4
17,67.89,87.65,63.66,85.13,49.65,61.27,84.04,84.56,40.11,61.58,57.2,73.84,25.34,56.61,57.47,74.44
18,59.44,82.64,54.76,78.62,12.54,18.87,100,100,20.49,46.97,37.33,58.95,16.13,45.59,42.7,61.33
19,73.26,87.45,73.09,87.05,13.25,33.91,63.49,72.26,54.23,73.63,68.87,83.84,40.71,70.38,72.67,86.12
20,68.36,84.84,65.76,82.96,25.79,46.43,88.66,88.57,42.61,63.47,58.64,73.7,31.86,62.09,64.8,78.16
21,60.96,64.37,85.3,76.52,46.71,50.37,100,100,-0.36,20.05,8.21,23.34,-2.74,18.77,9.28,23.71
22,59.21,78.03,57.52,75.77,28.67,38.33,100,100,27.93,49.37,48.63,63.35,17.49,45.05,46.87,62.84
23,74.81,88.9,73.58,88.24,20.05,40.5,53.76,64.83,47.36,72.15,68.24,84.08,32.73,68.93,76.6,87.38
26,74.11,88.56,72.09,87.6,4.98,15.28,100,100,42.89,66,66.52,79.35,31.27,64.34,73.83,83.19
27,64.9,78.87,57.58,70.98,0,0,100,100,16.3,39.11,40.05,52.46,12.77,38.19,47.98,56.95
28,69.32,84.08,66.89,82.19,4.66,14.86,100,100,43.48,65.88,61.67,77.3,31.07,62.11,63.21,77.91
29,30.39,43.79,61.82,53.22,46.54,48.86,35.84,35.47,-1.25,18.28,7.02,23.15,-3.18,17.14,8.23,23.35
30,60.91,77.9,51.66,68.63,19.79,22.55,100,100,8.01,36.35,24.15,49.02,5.37,34.63,30.04,50.44
31,63.15,80.23,78.97,86.36,0.01,0,100,100,19.67,50.52,43.02,63.32,14.03,48.26,44.24,63.75
32,72.56,85.24,70.94,83.95,17.88,25.27,0,0,30.38,55.6,58.25,70.5,21.47,53.34,60.58,71.58
33,47.68,56.28,94.82,88.51,0.11,0.08,100,100,-0.01,16.15,10.65,22.07,-0.06,15.51,13.72,23.39
34,70.27,83.45,67.14,80.4,37.84,43.58,51.55,47.83,27.28,52.51,50.95,67.03,15.16,48.02,48.46,66.33
35,75.01,89.79,73.68,88.89,6.83,17.13,100,100,38.3,65.22,67.23,81.33,25.37,61.29,72.27,83.41
36,68.38,87.19,67.77,86.7,1.54,6.58,100,100,50.64,73.4,75.41,87.07,32.3,68.7,77.23,88.27
37,75.87,87.78,76.8,88.9,34.63,45.48,28.6,35.12,44.63,65.26,68.77,80.92,29.35,60.22,70.17,81.59
38,66.25,87.55,63.99,86.05,32.82,55.22,29.51,49.69,52.27,71.5,71.3,85.9,36.33,65.8,72.69,87.81
39,36.21,36.54,0,0,61.27,57.23,100,100,7.8,25.01,19.56,35.49,6.82,24.37,23.76,37.31
40,66.01,85.12,91.93,91.18,13.94,21.1,0,0,29.58,53.07,48.5,66.71,21.72,50.54,54.38,69.62
41,71.09,88.12,68.53,87.17,3.37,10.5,100,100,36.95,63.58,59.18,74.5,23.15,60.93,62.89,77.2
42,52.38,73.58,70.61,84.07,9.19,14.34,0,0,11.43,40.1,27.7,50.02,9.6,39.5,35.35,53
43,68.53,86.21,65.29,84.71,5.1,14,34.51,40.9,47.82,71.52,71.17,85.45,30.43,67.07,73.67,87.3
45,46.24,71.74,69.52,81.77,14.49,22.9,94.11,77.18,9.83,36.76,21.35,44.87,7.41,35.36,28.06,46.12
46,69.92,59.67,0,0,0.06,0.02,100,100,1.46,18.73,11.97,26.78,-2.67,16.83,12.16,25.57
47,74.95,89.28,89.38,91.78,2.83,8.6,100,100,35.75,63.43,62.17,76.65,22.14,60.82,65.49,79.38
48,67.07,82.95,61.64,78.37,-0.01,-0.01,100,100,21.6,48.56,42.54,62.54,13.78,45.17,44.86,63.54
49,71.38,86.89,68.65,85.67,4.09,9.91,100,100,31.67,59.12,56.59,73.43,19.69,55.43,57.96,74.41
50,67.68,84.63,78.63,89.65,4.98,13.37,100,100,42.23,65.7,60.63,77.05,25.93,61.81,63.57,79.6
51,69.24,86.68,67.87,86.3,0,0,100,100,31.92,66.45,68.77,82.95,17.35,58.41,70.45,84.3
52,64.63,84.48,61.93,83.01,7.01,15.73,100,100,31.48,59.52,53.95,72.12,20.01,55.85,57.7,73.8
53,40.19,57.7,-8.24,10.15,88.8,82.86,100,100,7.82,25.01,22.52,34.79,8.26,25.05,29.77,37.7
54,56.04,74.06,77.44,80.53,36.76,46.61,100,100,12.37,37.32,27,47.15,9.58,36.61,31.58,49.43
55,65.67,85.87,65.14,85.34,1.65,6.61,100,100,35.12,64.43,58.63,76.26,22.85,61.81,61.78,79.96
56,68.99,85.18,66.26,83.76,1.87,6.77,100,100,51.66,72.74,67.1,84.08,36.19,68.62,70.65,86.49
57,67.25,80.68,93.66,89.59,24.88,28.69,100,100,17.58,42.3,34.91,53.48,10.41,39.06,34.7,53.46
58,74.8,86.63,73.59,83.18,68.04,76.49,100,100,45.53,61.33,63.67,74.57,32.23,56.11,67.3,76
59,70.28,61.39,100,100,70.28,61.39,100,100,-1.58,15.82,6.72,21.42,-3.36,14.91,8.86,21.42
60,73.46,85.92,87.94,89.71,7.31,16.98,100,100,33.6,60.68,65.26,75.97,21.7,57.62,68.47,78.2
61,66.86,85.71,67.74,86.66,3.2,10.29,100,100,42.52,69.37,66.81,83.97,27.95,62.48,69.97,87.19
62,53.25,75.49,69.55,76.69,39.17,50.55,100,100,39.49,55.54,65.2,73.77,28.94,51.99,66.44,75.57
63,50.81,75.96,48.39,73.56,0.9,2.53,100,100,10.12,48.01,31.99,60.71,5.28,45.82,37.18,62.87
64,53.02,68.06,39.54,45.85,99.94,99.84,100,100,11.56,33.1,21.48,42.13,8.25,30.43,22,41.57
65,66.59,85.68,64.62,84.87,17.87,39.99,50.16,66.2,47.9,70.78,61.48,80.88,32.67,67.36,61.04,83.79
66,77.11,90.76,75.74,89.91,9.03,22.79,74.61,67.09,42.96,69.14,60.85,81.72,26.8,64.87,64.02,83.74
67,75.04,89.28,75.6,89.16,6.21,16.43,100,100,50.04,70.55,66.25,83.08,34.9,66.24,72.01,86.52
68,71.9,85.93,69.27,83.53,25.21,36.08,62.41,68.78,27.18,52.29,55.47,67.6,16.98,48.75,55.59,67.44
69,75.46,88.96,88.59,94.26,14.33,29.06,5.24,13.33,60.45,76.45,81.71,90.63,37.79,70.33,83.61,92.15
70,75.37,87.29,75.57,85.94,5.64,14.78,100,100,41.01,62.76,71.76,79.68,25.89,59.35,76.74,82.53
71,73.51,89.75,73.51,89.7,14.1,33.95,10.51,26,55.56,74.63,73.94,85.95,37.66,70.74,73.79,88.02
72,68.13,85.46,64.82,83.84,0.01,0.01,100,100,32.93,61.23,50.18,71.82,24.09,59.06,54.81,74.08
73,73.28,85.47,86.69,89.62,31.26,33.13,0,0,44.47,60.66,70.57,76.58,30.38,56.23,70.92,77.26
74,67.44,85.29,68.66,85.9,7.48,20.32,48.67,46.99,41.88,68.24,62.88,79.07,26.28,65.15,66.31,81.72
75,71.2,87.05,70.93,87.2,6.95,22.11,100,100,45.24,71.69,69.65,84.59,25.12,65,69.62,84.99
76,95.04,87.45,90.62,72.98,61.83,53.52,100,100,6.96,25.79,16.73,33.82,5.63,24.98,19.68,35.43
77,66.99,76.31,64.88,68.51,5.43,10.84,0,0,25.86,46.68,47.88,60.09,17.07,43.76,49.4,61.8
78,68.73,82.07,85.55,88,11.77,21.76,2.36,5.76,37.48,60.28,64.8,76.83,25.2,56.74,67.09,79.02
79,77.57,89.51,86.05,90.86,1.72,7.76,100,100,50.08,72.87,73.88,84.95,32.28,68.9,76.66,86.94
80,63.77,79.3,60.96,76.21,30.93,43,100,100,24.82,52.68,40.54,63.43,16.19,49.52,43.21,65.11
81,57.79,77.78,73.02,82.68,31,39.15,46.86,50.53,29.78,51.66,44.91,62.57,21.9,49.06,49.72,65.04
82,68.37,84.52,81.11,90.9,12.22,26.81,100,100,46.18,66.64,61.08,77.87,33.82,63.08,64.95,80.01
83,93.24,88.88,94.14,89.53,67.51,69.89,100,100,15.65,35.75,29.28,46.21,12.94,34.19,33.37,47.37
84,61.45,76.28,67.55,73.38,10.94,18.12,100,100,24.29,46.33,38.92,58.48,17.74,44.08,43.16,61.18
85,64.78,84.62,65.44,84.81,0,0,100,100,41.85,67.43,59.02,78.11,27.59,63.73,57.96,79.27
86,73.7,87.41,73.15,86.64,0.01,0.02,100,100,40.64,69.19,63.47,81.58,24.56,65.02,66.08,83.37
87,72.73,82.08,67.8,75.87,41.7,49.16,100,100,18.63,42.65,37.59,55.25,13.76,41.56,44.1,58.98
88,73.48,84.14,72.67,81.64,52.79,54.79,61.97,63.46,37.76,54.43,62.11,70.05,26.64,50.28,63.46,70.17
89,94.24,84.73,62.95,59.33,66.55,54.68,0,0,0.88,23.38,9.85,29.35,-2.15,21.96,10.98,29
90,77.22,89.63,75.75,88.77,7.35,18.56,100,100,51.23,69.39,77.76,85.2,34.99,65.59,81.29,87.6
91,68.63,85.35,79.54,89.81,16.25,32.83,100,100,42.05,68.93,69.88,84.07,26.23,64.32,74.04,86.19
92,66.62,82.6,64.05,80.5,2.93,7.03,0,0,16.44,49.96,34.91,61.38,8.81,47.09,37.01,62.15
93,49.09,70.35,46.49,66.46,35.81,40.61,29.16,30.03,4.57,34.53,17.83,43.41,2.27,33.34,23.49,44.64
94,5.45,22.44,0,0,0.01,-0.01,100,100,9.62,22.34,19.99,31.26,9.76,22.69,25.17,34.31
95,73.5,88.6,84.66,92.25,18,31.75,5.75,13.7,34.45,63.22,59.1,75.47,20.08,59.79,62.85,77.77
Average,65.35,79.84,67.84,78.73,0.02,0.26,0.64,0.61,30.97,54.33,50.43,66.22,20.52,51.16,53.5,67.95
