Dataset Number, KMEANS, DBSCAN, SBM-V2, SBM-V1
0,0.25,0.5,0.75,1
1,0.44,0.31,0.71,0.54
2,0.82,0.34,0.5,0.41
3,0.2,0.25,0.36,0.29
4,0.05,0.11,0.49,0.37
5,0.49,0.33,0.52,0.44
6,0.22,0.3,0.49,0.41
7,0.49,0.36,0.53,0.44
8,0.04,0.07,0.28,0.2
9,1,0.58,0.92,0.63
10,0.87,0.37,0.63,0.52
11,0.71,0.37,0.56,0.46
12,0.63,0.33,0.56,0.43
13,0.17,0.23,0.65,0.49
14,0.03,0.13,0.45,0.31
15,0.13,0.25,0.38,0.3
16,0.12,0.19,0.4,0.34
17,0.12,0.23,0.4,0.33
18,0.07,0.17,0.55,0.45
19,1.56,0.36,0.79,0.87
20,0.85,0.29,1.06,0.47
21,0.04,0.12,0.47,0.32
22,0.08,0.16,0.48,0.37
23,0.48,0.33,0.52,0.44
26,0.43,0.33,0.58,0.43
27,0.06,0.16,0.53,0.38
28,0.49,0.32,0.77,0.6
29,0.03,0.1,0.46,0.33
30,0.06,0.12,0.36,0.3
31,0.17,0.21,0.59,0.5
32,0.16,0.24,0.59,0.46
33,0.06,0.11,0.41,0.29
34,0.09,0.15,0.39,0.33
35,0.18,0.22,0.37,0.32
36,0.49,0.29,0.48,0.4
37,0.2,0.26,0.39,0.33
38,0.33,0.29,0.4,0.34
39,0.02,0.13,0.51,0.39
40,0.07,0.16,0.4,0.33
41,0.37,0.35,0.66,0.53
42,0.12,0.15,0.57,0.41
43,0.41,0.25,0.41,0.33
45,0.11,0.19,0.61,0.44
46,0.04,0.12,0.43,0.29
47,0.33,0.31,0.53,0.43
48,0.08,0.14,0.35,0.29
49,0.18,0.28,0.5,0.41
50,0.34,0.28,0.47,0.36
51,0.5,0.28,0.57,0.46
52,0.16,0.24,0.47,0.37
53,0.06,0.11,0.34,0.29
54,0.05,0.15,0.65,0.48
55,1,0.35,0.78,0.59
56,0.53,0.33,0.43,0.35
57,0.06,0.15,0.43,0.34
58,0.06,0.22,0.28,0.25
59,0.02,0.11,0.43,0.29
60,0.24,0.25,0.47,0.37
61,0.63,0.35,0.52,0.44
62,0.06,0.14,0.31,0.26
63,0.21,0.15,0.51,0.41
64,0.04,0.11,0.31,0.26
65,0.46,0.37,0.49,0.39
66,0.35,0.32,0.48,0.39
67,0.29,0.28,0.44,0.34
68,0.09,0.14,0.42,0.36
69,0.28,0.3,0.38,0.31
70,0.15,0.28,0.41,0.33
71,0.58,0.32,0.46,0.39
72,0.46,0.34,0.64,0.51
73,0.14,0.23,0.41,0.34
74,0.57,0.32,0.58,0.45
75,0.63,0.36,0.58,0.44
76,0.04,0.1,0.43,0.33
77,0.06,0.17,0.48,0.42
78,0.15,0.23,0.36,0.3
79,0.78,0.56,0.59,0.48
80,0.17,0.34,0.4,0.33
81,0.09,0.21,0.48,0.37
82,0.42,0.26,0.47,0.37
83,0.05,0.13,0.43,0.35
84,0.06,0.15,0.3,0.24
85,0.66,0.38,0.64,0.54
86,0.72,0.37,0.66,0.54
87,0.06,0.17,0.42,0.35
88,0.07,0.13,0.3,0.26
89,0.03,0.11,0.56,0.4
90,0.16,0.28,0.41,0.34
91,0.36,0.25,0.39,0.33
92,0.16,0.22,0.52,0.42
93,0.09,0.14,0.55,0.42
94,0.04,0.14,0.5,0.33
95,0.33,0.3,0.6,0.47
Average,0.28,0.24,0.49,0.39
