Algor	ARI-a	AMI-a	ARI-n	AMI-n	FMI-a
K-means	0.497	0.697	0.506	0.706	0.536
DBSCAN	0.039	0.148	0.909	0.803	0.298
S.B.M.	0.531	0.672	0.535	0.676	0.571
