Algor	ARI-a	AMI-a	FMI-a	ARI-n	AMI-n	FMI-n
K-means	0.103	0.295	0.333	0.090	0.278	0.333
DBSCAN	0.002	0.001	0.733	1.000	1.000	0.733
S.B.M.	0.640	0.550	0.811	0.686	0.635	0.811
