Algor	ARI-a	AMI-a	ARI-n	AMI-n	FMI-a
K-means	0.573	0.745	0.997	0.993	0.711
DBSCAN	0.755	0.751	1.000	0.995	0.852
S.B.M.	0.550	0.647	0.568	0.697	0.697
