Algor	ARI-a	AMI-a	FMI-a	ARI-n	AMI-n	FMI-n
K-means	1.000	1.000	1.000	1.000	1.000	1.000
DBSCAN	1.000	0.998	1.000	1.000	0.998	1.000
S.B.M.	0.996	0.965	0.997	1.000	0.995	0.997
