Algor	ARI-a	AMI-a	ARI-n	AMI-n	FMI-a
K-means	0.442	0.678	0.440	0.673	0.500
DBSCAN	0.131	0.291	0.093	0.219	0.384
S.B.M.	0.650	0.681	0.655	0.687	0.699
