Algor	Sil-g	CBI-g	DBI-g	Sil-a	CBI-a	DBI-a
K-means	0.225	14395.461	1.054	0.430	30615.447	0.797
DBSCAN	0.225	14395.461	1.054	-0.089	1376.200	1.958
S.B.M.	0.225	14395.461	1.054	0.416	15080.145	2.561
