Algor	ARI-a	AMI-a	FMI-a	ARI-n	AMI-n	FMI-n
K-means	0.294	0.528	0.456	0.295	0.533	0.456
DBSCAN	0.066	0.123	0.508	1.000	1.000	0.508
S.B.M.	0.890	0.840	0.915	0.907	0.887	0.915
