Algor	ARI-a	AMI-a	ARI-n	AMI-n	FMI-a
K-means	0.510	0.732	0.513	0.738	0.551
DBSCAN	0.242	0.465	0.577	0.744	0.390
S.B.M.	0.448	0.685	0.451	0.692	0.520
