Algor	ARI-a	AMI-a	ARI-n	AMI-n	FMI-a
K-means	0.660	0.827	0.653	0.828	0.685
DBSCAN	-0.004	0.139	0.701	0.633	0.213
S.B.M.	0.498	0.715	0.599	0.797	0.533
