Algor	ARI-a	AMI-a	ARI-n	AMI-n	FMI-a
K-means	0.441	0.693	0.443	0.700	0.480
DBSCAN	0.195	0.338	0.066	0.213	0.401
S.B.M.	0.415	0.600	0.418	0.603	0.494
