Algor	ARI-a	AMI-a	ARI-n	AMI-n	FMI-a
K-means	0.499	0.678	0.495	0.684	0.573
DBSCAN	0.086	0.170	0.012	0.037	0.413
S.B.M.	0.552	0.628	0.557	0.634	0.630
