Algor	ARI-a	AMI-a	FMI-a	ARI-n	AMI-n	FMI-n
K-means	0.220	0.429	0.418	0.264	0.462	0.418
DBSCAN	0.002	0.000	0.589	1.000	1.000	0.589
S.B.M.	0.875	0.719	0.917	0.912	0.784	0.917
